ID,Type,Time,percent
TG_IDL_mg_d_l,EDTA,8,12.60688226
TG_LDL_mg_d_l,EDTA,2,3.509660015
TG_LDL_mg_d_l,EDTA,4,6.830186667
TG_LDL_mg_d_l,EDTA,6,10.04174056
TG_LDL_mg_d_l,EDTA,8,13.26784592
TG_HDL_mg_d_l,EDTA,2,4.059175217
TG_HDL_mg_d_l,EDTA,4,4.831735123
TG_HDL_mg_d_l,EDTA,6,6.24663119
TG_HDL_mg_d_l,EDTA,8,8.720769628
CHOL_VLDL_mg_d_l,EDTA,2,0.792540793
CHOL_VLDL_mg_d_l,EDTA,4,3.979694134
CHOL_VLDL_mg_d_l,EDTA,6,7.17422515
CHOL_VLDL_mg_d_l,EDTA,8,9.631124068
CHOL_IDL_mg_d_l,EDTA,2,6.512113291
CHOL_IDL_mg_d_l,EDTA,4,12.82339429
CHOL_IDL_mg_d_l,EDTA,6,19.88325875
CHOL_IDL_mg_d_l,EDTA,8,25.77515788
fCHOL_VLDL_mg_d_l,EDTA,2,1.357430559
fCHOL_VLDL_mg_d_l,EDTA,4,3.256577523
fCHOL_VLDL_mg_d_l,EDTA,6,5.278233049
fCHOL_VLDL_mg_d_l,EDTA,8,7.342255211
fCHOL_IDL_mg_d_l,EDTA,2,6.070174583
fCHOL_IDL_mg_d_l,EDTA,4,12.92883828
fCHOL_IDL_mg_d_l,EDTA,6,19.99856398
fCHOL_IDL_mg_d_l,EDTA,8,25.9086791
fCHOL_LDL_mg_d_l,EDTA,2,4.421662352
fCHOL_LDL_mg_d_l,EDTA,4,7.964704591
fCHOL_LDL_mg_d_l,EDTA,6,12.26392174
fCHOL_LDL_mg_d_l,EDTA,8,16.463824
fCHOL_HDL_mg_d_l,EDTA,2,3.164629869
fCHOL_HDL_mg_d_l,EDTA,4,4.539264886
fCHOL_HDL_mg_d_l,EDTA,6,9.503010819
fCHOL_HDL_mg_d_l,EDTA,8,12.21562662
PHOSL_VLDL_mg_d_l,EDTA,2,1.495820636
PHOSL_VLDL_mg_d_l,EDTA,4,3.91854408
PHOSL_VLDL_mg_d_l,EDTA,6,5.509845114
PHOSL_VLDL_mg_d_l,EDTA,8,8.48762648
PHOSL_IDL_mg_d_l,EDTA,2,5.827725777
PHOSL_IDL_mg_d_l,EDTA,4,13.7456058
PHOSL_IDL_mg_d_l,EDTA,6,20.55064516
PHOSL_IDL_mg_d_l,EDTA,8,25.96995951
PHOSL_LDL_mg_d_l,EDTA,2,3.660131044
PHOSL_LDL_mg_d_l,EDTA,4,7.493566138
PHOSL_LDL_mg_d_l,EDTA,6,10.69439948
PHOSL_LDL_mg_d_l,EDTA,8,14.09921926
PHOSL_HDL_mg_d_l,EDTA,2,1.70555972
PHOSL_HDL_mg_d_l,EDTA,4,3.648744579
PHOSL_HDL_mg_d_l,EDTA,6,6.377157043
PHOSL_HDL_mg_d_l,EDTA,8,8.127348052
ApoA1_HDL_mg_d_l,EDTA,2,3.405654926
ApoA1_HDL_mg_d_l,EDTA,4,6.536516635
ApoA1_HDL_mg_d_l,EDTA,6,10.12115296
ApoA1_HDL_mg_d_l,EDTA,8,13.31333387
ApoA2_HDL_mg_d_l,EDTA,2,4.94689674
ApoA2_HDL_mg_d_l,EDTA,4,8.46383632
