ID,Draw,Centrifugation,Freeze,PreCent,PostCent,TTF
S2369,28/07/2022 14:06,28/07/2022 15:49,28/07/2022 17:33,1.716666667,1.733333333,3.45
S2009,01/11/2022 12:02,01/11/2022 13:45,01/11/2022 15:03,1.716666667,1.3,3.016666667
S1908,23/11/2022 08:48,23/11/2022 10:31,23/11/2022 11:25,1.716666667,0.9,2.616666667
S2507,12/07/2022 10:25,12/07/2022 12:08,12/07/2022 13:02,1.716666667,0.9,2.616666667
S1973,08/11/2022 08:23,08/11/2022 10:06,08/11/2022 10:58,1.716666667,0.866666667,2.583333333
S2602,10/12/2021 11:14,10/12/2021 12:57,10/12/2021 13:47,1.716666667,0.833333333,2.55
S2351,03/08/2022 09:02,03/08/2022 10:45,03/08/2022 11:17,1.716666667,0.533333333,2.25
S1883,29/11/2022 10:15,29/11/2022 11:59,29/11/2022 13:00,1.733333333,1.016666667,2.75
S1965,09/11/2022 11:40,09/11/2022 13:24,09/11/2022 14:06,1.733333333,0.7,2.433333333
S1984,04/11/2022 09:19,04/11/2022 11:03,04/11/2022 11:35,1.733333333,0.533333333,2.266666667
S1830,14/12/2022 11:49,14/12/2022 13:35,14/12/2022 14:43,1.766666667,1.133333333,2.9
S1985,04/11/2022 09:17,04/11/2022 11:03,04/11/2022 11:35,1.766666667,0.533333333,2.3
S2566,27/01/2022 14:01,27/01/2022 15:47,27/01/2022 16:00,1.766666667,0.216666667,1.983333333
S2545,05/07/2022 08:45,05/07/2022 10:32,05/07/2022 12:44,1.783333333,2.2,3.983333333
S2136,05/10/2022 11:04,05/10/2022 12:51,05/10/2022 14:18,1.783333333,1.45,3.233333333
S2341,04/08/2022 09:11,04/08/2022 10:58,04/08/2022 11:51,1.783333333,0.883333333,2.666666667
S2346,03/08/2022 12:35,03/08/2022 14:22,03/08/2022 15:03,1.783333333,0.683333333,2.466666667
S2425,21/07/2022 09:42,21/07/2022 11:29,21/07/2022 12:09,1.783333333,0.666666667,2.45
S1795,30/12/2022 13:01,30/12/2022 14:48,30/12/2022 15:04,1.783333333,0.266666667,2.05
S2106,12/10/2022 08:44,12/10/2022 10:32,12/10/2022 11:27,1.8,0.916666667,2.716666667
S2556,04/07/2022 10:13,04/07/2022 12:01,04/07/2022 12:31,1.8,0.5,2.3
S2487,13/07/2022 13:11,13/07/2022 14:59,13/07/2022 15:27,1.8,0.466666667,2.266666667
S1831,14/12/2022 11:46,14/12/2022 13:35,14/12/2022 14:43,1.816666667,1.133333333,2.95
S2502,12/07/2022 12:00,12/07/2022 13:50,12/07/2022 14:44,1.833333333,0.9,2.733333333
S1948,14/11/2022 13:42,14/11/2022 15:32,14/11/2022 16:03,1.833333333,0.516666667,2.35
S2388,27/07/2022 08:46,27/07/2022 10:36,27/07/2022 11:03,1.833333333,0.45,2.283333333
S1833,14/12/2022 10:57,14/12/2022 12:48,14/12/2022 14:13,1.85,1.416666667,3.266666667
S2401,25/07/2022 13:00,25/07/2022 14:51,25/07/2022 15:35,1.85,0.733333333,2.583333333
S1803,22/12/2022 11:56,22/12/2022 13:47,22/12/2022 14:26,1.85,0.65,2.5
S1799,29/12/2022 12:53,29/12/2022 14:44,29/12/2022 15:14,1.85,0.5,2.35
S2218,06/09/2022 14:38,06/09/2022 16:29,06/09/2022 16:57,1.85,0.466666667,2.316666667
S1854,07/12/2022 12:43,07/12/2022 14:34,07/12/2022 14:55,1.85,0.35,2.2
S1889,28/11/2022 11:19,28/11/2022 13:11,28/11/2022 14:17,1.866666667,1.1,2.966666667
S2207,12/09/2022 09:46,12/09/2022 11:39,12/09/2022 12:50,1.883333333,1.183333333,3.066666667
S2239,31/08/2022 12:01,31/08/2022 13:54,31/08/2022 15:05,1.883333333,1.183333333,3.066666667
S2343,03/08/2022 13:49,03/08/2022 15:42,03/08/2022 16:16,1.883333333,0.566666667,2.45
S2165,27/09/2022 12:03,27/09/2022 13:56,27/09/2022 14:28,1.883333333,0.533333333,2.416666667
S2505,12/07/2022 11:11,12/07/2022 13:05,12/07/2022 14:19,1.9,1.233333333,3.133333333
S2627,03/09/2021 07:00,03/09/2021 08:55,03/09/2021 10:39,1.916666667,1.733333333,3.65
S2139,05/10/2022 08:36,05/10/2022 10:31,05/10/2022 11:36,1.916666667,1.083333333,3
S1923,21/11/2022 12:00,21/11/2022 13:55,21/11/2022 14:44,1.916666667,0.816666667,2.733333333
S1986,03/11/2022 14:35,03/11/2022 16:30,03/11/2022 17:07,1.916666667,0.616666667,2.533333333
S2373,28/07/2022 09:26,28/07/2022 11:22,28/07/2022 14:11,1.933333333,2.816666667,4.75
S1850,08/12/2022 12:19,08/12/2022 14:16,08/12/2022 15:12,1.95,0.933333333,2.883333333
S1858,06/12/2022 12:48,06/12/2022 14:45,06/12/2022 15:37,1.95,0.866666667,2.816666667
S2174,26/09/2022 12:00,26/09/2022 13:57,26/09/2022 14:24,1.95,0.45,2.4
S2456,18/07/2022 12:51,18/07/2022 14:49,18/07/2022 16:39,1.966666667,1.833333333,3.8
S1957,10/11/2022 10:04,10/11/2022 12:02,10/11/2022 13:29,1.966666667,1.45,3.416666667
S2243,30/08/2022 10:38,30/08/2022 12:36,30/08/2022 13:10,1.966666667,0.566666667,2.533333333
S2389,26/07/2022 13:40,26/07/2022 15:38,26/07/2022 16:01,1.966666667,0.383333333,2.35
S1910,23/11/2022 05:30,23/11/2022 07:29,23/11/2022 08:48,1.983333333,1.316666667,3.3
S2506,12/07/2022 11:06,12/07/2022 13:05,12/07/2022 14:19,1.983333333,1.233333333,3.216666667
S2534,06/07/2022 11:55,06/07/2022 13:54,06/07/2022 14:36,1.983333333,0.7,2.683333333
S2560,17/05/2022 10:12,17/05/2022 12:12,17/05/2022 13:16,2,1.066666667,3.066666667
S1926,21/11/2022 08:34,21/11/2022 10:34,21/11/2022 11:25,2,0.85,2.85
S2419,21/07/2022 10:30,21/07/2022 12:30,21/07/2022 13:00,2,0.5,2.5
S1818,19/12/2022 09:53,19/12/2022 11:54,19/12/2022 13:15,2.016666667,1.35,3.366666667
S2427,21/07/2022 09:28,21/07/2022 11:29,21/07/2022 12:09,2.016666667,0.666666667,2.683333333
S2188,20/09/2022 12:08,20/09/2022 14:09,20/09/2022 14:35,2.016666667,0.433333333,2.45
S2559,19/05/2022 09:13,19/05/2022 11:15,19/05/2022 12:06,2.033333333,0.85,2.883333333
S2439,20/07/2022 10:07,20/07/2022 12:10,20/07/2022 14:18,2.05,2.133333333,4.183333333
S2119,10/10/2022 13:10,10/10/2022 15:13,10/10/2022 16:38,2.05,1.416666667,3.466666667
S2508,12/07/2022 10:05,12/07/2022 12:08,12/07/2022 13:02,2.05,0.9,2.95
S2144,04/10/2022 10:50,04/10/2022 12:54,04/10/2022 14:13,2.066666667,1.316666667,3.383333333
S1909,23/11/2022 08:27,23/11/2022 10:31,23/11/2022 11:25,2.066666667,0.9,2.966666667
S1976,07/11/2022 11:56,07/11/2022 14:00,07/11/2022 14:51,2.066666667,0.85,2.916666667
S2633,14/06/2021 11:42,14/06/2021 13:46,14/06/2021 14:26,2.066666667,0.666666667,2.733333333
S1797,30/12/2022 10:41,30/12/2022 12:45,30/12/2022 13:24,2.066666667,0.65,2.716666667
S2091,13/10/2022 12:30,13/10/2022 14:34,13/10/2022 15:10,2.066666667,0.6,2.666666667
S2526,08/07/2022 09:24,08/07/2022 11:28,08/07/2022 12:00,2.066666667,0.533333333,2.6
S1878,01/12/2022 09:08,01/12/2022 11:12,01/12/2022 11:32,2.066666667,0.333333333,2.4
S2020,26/10/2022 10:31,26/10/2022 12:36,26/10/2022 14:07,2.083333333,1.516666667,3.6
S1977,07/11/2022 11:55,07/11/2022 14:00,07/11/2022 14:51,2.083333333,0.85,2.933333333
S2170,26/09/2022 13:44,26/09/2022 15:49,26/09/2022 16:27,2.083333333,0.633333333,2.716666667
S2305,15/08/2022 12:45,15/08/2022 14:50,15/08/2022 15:26,2.083333333,0.6,2.683333333
S2156,28/09/2022 12:23,28/09/2022 14:28,28/09/2022 15:03,2.083333333,0.583333333,2.666666667
S1937,15/11/2022 13:51,15/11/2022 15:56,15/11/2022 16:21,2.083333333,0.416666667,2.5
S2201,13/09/2022 11:38,13/09/2022 13:44,13/09/2022 15:09,2.1,1.416666667,3.516666667
S1954,10/11/2022 12:06,10/11/2022 14:12,10/11/2022 15:03,2.1,0.85,2.95
S2250,29/08/2022 11:00,29/08/2022 13:07,29/08/2022 14:32,2.116666667,1.416666667,3.533333333
S2294,17/08/2022 12:32,17/08/2022 14:39,17/08/2022 15:26,2.116666667,0.783333333,2.9
S1966,09/11/2022 11:17,09/11/2022 13:24,09/11/2022 14:06,2.116666667,0.7,2.816666667
S2004,02/11/2022 10:43,02/11/2022 12:51,02/11/2022 15:36,2.133333333,2.75,4.883333333
S1841,12/12/2022 10:33,12/12/2022 12:41,12/12/2022 14:15,2.133333333,1.566666667,3.7
S2010,01/11/2022 11:37,01/11/2022 13:45,01/11/2022 15:03,2.133333333,1.3,3.433333333
S2065,19/10/2022 08:11,19/10/2022 10:19,19/10/2022 11:07,2.133333333,0.8,2.933333333
S1967,09/11/2022 11:15,09/11/2022 13:23,09/11/2022 14:06,2.133333333,0.716666667,2.85
