ID,Type,Time,percent
fCHOL_LDL_5,EDTA,2,11.71136037
fCHOL_LDL_5,EDTA,4,25.66115396
fCHOL_LDL_5,EDTA,6,30.88354941
fCHOL_LDL_5,EDTA,8,38.29712874
fCHOL_LDL_6,EDTA,2,13.93077646
fCHOL_LDL_6,EDTA,4,30.5484031
fCHOL_LDL_6,EDTA,6,41.72270041
fCHOL_LDL_6,EDTA,8,46.89159311
PHOSL_LDL_1,EDTA,2,-4.927608739
PHOSL_LDL_1,EDTA,4,-6.515869924
PHOSL_LDL_1,EDTA,6,-5.48122054
PHOSL_LDL_1,EDTA,8,-8.403868205
PHOSL_LDL_2,EDTA,2,-8.287141266
PHOSL_LDL_2,EDTA,4,-13.10654903
PHOSL_LDL_2,EDTA,6,-9.001448761
PHOSL_LDL_2,EDTA,8,-13.78621164
PHOSL_LDL_3,EDTA,2,-7.557120572
PHOSL_LDL_3,EDTA,4,-8.546953624
PHOSL_LDL_3,EDTA,6,-13.40274627
PHOSL_LDL_3,EDTA,8,-10.44076544
PHOSL_LDL_4,EDTA,2,0.01666211
PHOSL_LDL_4,EDTA,4,3.67454173
PHOSL_LDL_4,EDTA,6,-3.057239865
PHOSL_LDL_4,EDTA,8,5.748311449
PHOSL_LDL_5,EDTA,2,9.974428827
PHOSL_LDL_5,EDTA,4,24.88139574
PHOSL_LDL_5,EDTA,6,28.6165917
PHOSL_LDL_5,EDTA,8,35.82392201
PHOSL_LDL_6,EDTA,2,10.20067501
PHOSL_LDL_6,EDTA,4,25.4495055
PHOSL_LDL_6,EDTA,6,30.37888395
PHOSL_LDL_6,EDTA,8,37.45002419
ApoB_LDL_1,EDTA,2,-3.160098531
ApoB_LDL_1,EDTA,4,-3.050415067
ApoB_LDL_1,EDTA,6,-1.217676514
ApoB_LDL_1,EDTA,8,-2.74781186
ApoB_LDL_2,EDTA,2,-4.54584534
ApoB_LDL_2,EDTA,4,-5.785433773
ApoB_LDL_2,EDTA,6,1.279619514
ApoB_LDL_2,EDTA,8,-1.514284569
ApoB_LDL_3,EDTA,2,-6.007627295
ApoB_LDL_3,EDTA,4,-4.982528015
ApoB_LDL_3,EDTA,6,-9.055657121
ApoB_LDL_3,EDTA,8,-4.933005666
ApoB_LDL_4,EDTA,2,2.378289589
ApoB_LDL_4,EDTA,4,8.675799087
ApoB_LDL_4,EDTA,6,3.451324781
ApoB_LDL_4,EDTA,8,13.2542425
ApoB_LDL_5,EDTA,2,11.38865825
ApoB_LDL_5,EDTA,4,27.16553152
ApoB_LDL_5,EDTA,6,31.56701282
ApoB_LDL_5,EDTA,8,38.73985382
ApoB_LDL_6,EDTA,2,11.64375771
ApoB_LDL_6,EDTA,4,27.94845309
ApoB_LDL_6,EDTA,6,34.83652493
ApoB_LDL_6,EDTA,8,41.62004378
TG_HDL_1,EDTA,2,3.534990771
TG_HDL_1,EDTA,4,5.707597862
TG_HDL_1,EDTA,6,11.53475684
TG_HDL_1,EDTA,8,10.38503984
TG_HDL_2,EDTA,2,5.272686491
TG_HDL_2,EDTA,4,7.777878815
TG_HDL_2,EDTA,6,16.13705642
TG_HDL_2,EDTA,8,15.40607818
TG_HDL_3,EDTA,2,6.363063261
TG_HDL_3,EDTA,4,10.6943953
TG_HDL_3,EDTA,6,19.74665428
TG_HDL_3,EDTA,8,21.02124173
